user_identifier,total_purchase,total_rake,total_rake_apd,total_games
29592895,100,169.59,1,57
29653007,300,107.26,1,122
29679515,500,128.18,1,92
29683238,50,1.83,1,5
29698500,100,8,1,2
29699687,50,25.08,1,18
29704207,100,11.07,2,15
29755818,25,4.49,1,4
29767821,50,8,1,1
29776185,50,10.57,1,12
29799919,100,629.39,1,55
29808795,100,16,1,3
29901110,11700,5287.13,2,70
29916384,440,114.36,1,169
29920002,3500,389.68,2,184
29955537,50,8,1,1
30023336,50,8.55,1,8
30045674,200,57.97,2,82
30054920,50,0.86,1,6
30077868,150,33.99,2,39
30098006,50,10.67,1,3
30107732,100,16.02,1,36
30126482,200,60.87,2,63
30191903,25,4,1,1
30238404,50,3,1,2
30282945,200,49.47,1,36
30330725,1000,160,1,7
30383011,25,4,1,1
30437799,25,4.5,1,4
30445146,50,5.5,1,3
30456347,50,10.67,1,4
30500138,50,27.32,1,58
30511201,100,20.5,2,5
30543885,50,132,2,25
30605613,50,2.93,1,14
30614057,100,40.76,1,76
30621717,100,41.24,2,13
30668142,25,4.36,1,2
30759184,600,112.5,1,10
30817257,50,4.08,1,6
30840363,50,7.92,1,7
30843768,100,89.25,2,16
30908122,100,16,1,3
30935462,25,9.55,1,37
30944112,150,68,1,8
31009818,100,4,1,1
31018024,50,7.69,1,14
31021249,50,16.67,1,1
31126218,200,32.5,1,4
31246394,300,90,2,10
31260293,200,411.5,2,59
31268333,100,18.33,1,2
31278527,300,182,2,20
31284108,50,13.5,1,10
31325826,200,46.87,1,19
31336119,25,6.95,2,15
31339295,25,7.5,2,10
31408683,25,4.14,1,2
31506579,100,15,1,1
31543302,100,9.73,1,9
31582118,100,0.75,1,1
31612225,50,24.35,1,23
31727093,3100,136.5,1,3
31760473,50,8,1,2
31776862,200,49,2,8
31811777,50,24.83,2,19
31819686,200,84,1,10
31900786,50,8,1,2
32065590,50,8,1,2
32069901,100,34.12,2,40
32096880,100,16.09,1,4
32161674,130,35.98,2,14
32161936,100,7.38,1,6
32164526,50,35.73,2,10
32216829,50,35.7,2,120
32241751,100,33.5,2,6
32257935,50,12,2,2
32281028,7000,1248.04,2,157
32381967,50,9.44,1,58
32438154,50,10.5,1,7
32471105,500,68,1,5
32471270,100,20,1,42
32479443,50,8,1,2
32491039,50,8.4,2,43
32497856,50,8.19,1,4
32519882,25,3.74,1,4
32535779,50,14.83,2,93
32541881,25,4.68,1,12
32548243,50,39.41,2,79
32591207,100,17.15,2,13
32625463,50,4.84,1,13
32630172,50,11.67,1,15
32663954,50,1.78,1,4
32687888,50,14.97,2,22
32764440,50,10.33,1,5
32923328,100,17.5,1,6
32972806,100,6.83,1,7
32998312,50,9.5,2,8
33039619,100,5.38,1,4
33093570,50,9.5,2,3
33150363,500,74.12,1,28
33154983,100,12,1,2
33198242,300,58.5,1,16
33205878,50,0.85,1,4
33208841,50,2.11,2,19
33224703,140,59.76,2,20
33254338,500,368.6,2,55
33396750,50,4.49,1,16
33405494,100,18.84,1,22
33441045,50,10.73,1,17
33517556,50,1.06,1,6
33545306,100,19,1,6
33601291,100,0.59,1,6
33603003,50,3.86,1,15
33615618,50,8.45,1,2
33626860,100,28.87,1,5
33672510,50,3.44,1,2
33697363,50,18.74,2,86
33737583,50,33.62,1,28
33740046,100,55.61,2,18
33742453,75,20.26,1,68
33746853,100,20,1,5
33825590,50,0,0,0
33872411,100,79.95,2,74
33877968,50,13.19,2,37
33935893,900,304.19,2,99
33988111,40,6.37,1,3
34128190,50,3.43,1,2
34187647,500,240,1,5
34194466,100,24.06,1,26
34194905,200,28.5,1,25
34227949,1000,140,1,2
34491793,25,11.34,1,95
34513735,600,104.53,1,76
34547753,50,20,1,5
34549199,100,4,1,1
34570233,100,12.48,1,4
34574751,50,20.01,2,24
34619155,100,15.22,1,8
34633761,50,8,1,1
34637676,80,42.65,1,25
34667070,25,6.71,1,33
34833224,100,16,1,2
34835566,100,8.65,1,3
34869633,50,16.48,2,40
34900536,50,54.95,2,20
34912996,50,8.52,1,6
34981377,25,6.26,1,28
35068283,50,31.74,2,22
35118197,100,2.52,1,25
35125500,25,1.16,1,6
35151628,100,18.77,1,14
35161028,500,246.67,2,24
35228113,50,9.73,1,85
35254924,450,92.5,2,22
35299134,50,1.5,1,3
35306098,50,8.45,1,3
35313564,25,4.64,1,9
35344012,500,90,1,3
35363350,100,12,1,3
35376612,50,36.05,2,169
35378348,50,1.5,1,1
35395796,560,90,1,5
35404229,300,71.08,1,5
35407402,100,32,2,8
35450838,50,12.77,1,60
35471376,50,0,0,0
35489574,50,8,1,2
35563396,50,10,1,5
35567472,100,51.1,1,119
35592246,100,12.21,2,44
35639902,100,12.5,1,12
35675140,550,76.56,2,52
35730470,25,43.34,1,45
35766266,100,38.17,2,17
35770421,100,3.33,1,3
35787999,50,4,1,2
35870287,25,4,1,1
35944121,50,16.63,2,57
35947619,50,129.04,1,10
35994044,900,235,2,32
36006841,300,106.06,2,86
36022451,50,22.05,1,19
